computer_id,learning_rate,batch_size,epochs,dropout,optimizer_type,run_id,train_losses,val_losses,train_accuracies,val_accuracies,timings,TP,TN,FP,FN,test_acc,epoch
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3507,1.3687,28.7033,26.0776,93.2059,0,0,143,0,30.5376,15
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3506,1.3691,27.8265,28.8793,93.7185,0,0,143,0,30.5376,16
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3511,1.3688,28.4264,28.8793,94.3209,0,0,143,0,30.5376,17
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3502,1.3703,29.7185,26.0776,96.9038,0,0,143,0,30.5376,18
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3502,1.3702,28.7494,26.0776,98.0897,0,0,143,0,30.5376,19
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,adam,47ac6a2f-3197-4272-893b-6f7134127948,1.3509,1.3691,29.3493,28.8793,98.121,0,0,143,0,30.5376,20
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,1.2682,1.0724,40.3784,55.819,91.983,111,111,13,7,87.957,1
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,1.0379,0.9256,54.9608,58.4052,91.3955,111,111,13,7,87.957,2
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.8388,0.7746,65.6668,69.181,93.4151,111,111,13,7,87.957,3
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.6629,0.6718,74.8962,71.3362,91.6746,111,111,13,7,87.957,4
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.522,0.5939,81.0337,78.6638,92.8193,111,111,13,7,87.957,5
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.3938,0.5184,85.0485,81.0345,93.0897,111,111,13,7,87.957,6
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.3433,0.4793,86.7097,81.8966,92.3632,111,111,13,7,87.957,7
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.2442,0.4346,90.6322,84.0517,92.2799,111,111,13,7,87.957,8
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.1638,0.4152,93.9548,84.4828,93.2464,111,111,13,7,87.957,9
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.116,0.5129,96.4006,86.6379,92.9397,111,111,13,7,87.957,10
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.1049,0.4205,96.0775,85.5603,92.002,111,111,13,7,87.957,11
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0743,0.4597,97.2773,85.9914,91.6766,111,111,13,7,87.957,12
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0832,0.5118,97.4619,85.1293,92.759,111,111,13,7,87.957,13
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0537,0.4975,98.431,85.1293,91.1343,111,111,13,7,87.957,14
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0453,0.4981,98.754,85.5603,91.8909,111,111,13,7,87.957,15
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0244,0.4221,99.1232,89.8707,92.7447,111,111,13,7,87.957,16
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0218,0.4917,99.3539,87.069,92.585,111,111,13,7,87.957,17
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0264,0.7013,98.9386,84.4828,97.1327,111,111,13,7,87.957,18
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0318,0.442,99.1232,87.931,91.8287,111,111,13,7,87.957,19
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.5,sgd,f08d4fc6-9d3b-4573-9214-ed5ce382ca6b,0.0235,0.5903,99.2617,85.1293,92.1845,111,111,13,7,87.957,20
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,2.8837,1.3592,28.1495,27.3707,98.4968,142,142,0,125,30.5376,1
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3546,1.3519,28.7956,31.8966,96.6636,142,142,0,125,30.5376,2
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3528,1.352,28.8879,31.8966,96.1392,142,142,0,125,30.5376,3
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3516,1.3523,28.1957,31.8966,98.3177,142,142,0,125,30.5376,4
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3529,1.3529,28.6571,27.3707,97.4799,142,142,0,125,30.5376,5
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.366,1.3545,28.5648,26.2931,98.0989,142,142,0,125,30.5376,6
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3527,1.352,28.9802,31.8966,96.36,142,142,0,125,30.5376,7
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3524,1.3549,28.9802,27.3707,98.5876,142,142,0,125,30.5376,8
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.353,1.3521,28.6571,31.8966,96.311,142,142,0,125,30.5376,9
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3517,1.3523,29.9031,31.8966,96.4153,142,142,0,125,30.5376,10
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.353,1.351,29.1186,31.8966,95.8993,142,142,0,125,30.5376,11
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3527,1.3523,28.6571,31.8966,96.2009,142,142,0,125,30.5376,12
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.352,1.3514,29.3955,31.8966,98.4788,142,142,0,125,30.5376,13
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3523,1.352,28.7956,31.8966,99.2725,142,142,0,125,30.5376,14
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3514,1.351,28.0111,31.8966,99.2902,142,142,0,125,30.5376,15
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3521,1.3513,28.7494,31.8966,98.5848,142,142,0,125,30.5376,16
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3522,1.3523,28.7956,31.8966,100.5108,142,142,0,125,30.5376,17
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3517,1.3525,29.0263,27.3707,97.9952,142,142,0,125,30.5376,18
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3521,1.3516,29.8569,31.8966,100.9852,142,142,0,125,30.5376,19
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,adam,483918d7-c826-4520-9069-c6e733d68a80,1.3516,1.3522,28.7494,27.3707,97.3586,142,142,0,125,30.5376,20
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,1.2332,1.0664,40.1938,57.7586,91.9933,105,105,11,19,88.3871,1
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.95,0.8397,61.3752,65.9483,92.4406,105,105,11,19,88.3871,2
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.678,0.6502,73.5579,76.7241,92.594,105,105,11,19,88.3871,3
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.4942,0.5945,82.0951,79.9569,92.4383,105,105,11,19,88.3871,4
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.3292,0.4873,88.1403,84.6983,94.1154,105,105,11,19,88.3871,5
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.2389,0.4852,92.0628,83.1897,92.5484,105,105,11,19,88.3871,6
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.1564,0.5013,94.5547,84.9138,93.4413,105,105,11,19,88.3871,7
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.1096,0.4882,96.1237,85.3448,92.1283,105,105,11,19,88.3871,8
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0761,0.5972,97.785,85.7759,93.2105,105,105,11,19,88.3871,9
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0365,0.6346,98.9848,86.2069,94.621,105,105,11,19,88.3871,10
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0284,0.6237,99.3539,84.9138,91.8746,105,105,11,19,88.3871,11
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0277,0.6175,99.1232,86.2069,92.3918,105,105,11,19,88.3871,12
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0136,0.6525,99.4924,85.9914,92.7573,105,105,11,19,88.3871,13
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.005,0.6909,99.8616,86.4224,93.148,105,105,11,19,88.3871,14
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0026,0.6632,99.9077,87.069,93.8604,105,105,11,19,88.3871,15
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0043,0.6161,99.8616,86.8534,92.3514,105,105,11,19,88.3871,16
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0026,0.6227,99.9539,85.9914,93.1351,105,105,11,19,88.3871,17
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0101,0.602,99.7693,87.069,93.3136,105,105,11,19,88.3871,18
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0052,0.6738,99.8154,86.2069,95.2935,105,105,11,19,88.3871,19
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.005,32,20,0.2,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0013,0.7032,100.0,85.7759,92.915,105,105,11,19,88.3871,20
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,1.3693,1.0067,46.3775,59.4828,98.6473,109,109,12,9,86.4516,1
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.8438,0.8035,67.0051,64.2241,95.6459,109,109,12,9,86.4516,2
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.6323,0.7077,76.5113,71.3362,98.2215,109,109,12,9,86.4516,3
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.4657,0.622,82.1874,76.5086,96.406,109,109,12,9,86.4516,4
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.3175,0.5471,89.3862,80.3879,97.6353,109,109,12,9,86.4516,5
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.2064,0.5655,92.5242,82.9741,96.7834,109,109,12,9,86.4516,6
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.1367,0.5954,95.4315,83.1897,97.3481,109,109,12,9,86.4516,7
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0973,0.5292,97.0466,85.9914,97.2001,109,109,12,9,86.4516,8
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0788,0.4941,97.0466,85.5603,96.8922,109,109,12,9,86.4516,9
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0504,0.6203,98.3849,87.2845,97.2913,109,109,12,9,86.4516,10
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0526,0.6183,98.3849,86.4224,97.907,109,109,12,9,86.4516,11
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0536,0.6422,98.3387,84.6983,96.7671,109,109,12,9,86.4516,12
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0449,0.6782,98.8925,85.5603,98.4591,109,109,12,9,86.4516,13
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0216,0.6903,99.5385,87.069,100.9748,109,109,12,9,86.4516,14
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0227,0.7243,99.2155,86.6379,97.8939,109,109,12,9,86.4516,15
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0327,0.9395,99.1232,84.6983,101.064,109,109,12,9,86.4516,16
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0597,0.7282,98.108,85.9914,100.9214,109,109,12,9,86.4516,17
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.049,0.6254,98.8925,87.7155,99.9972,109,109,12,9,86.4516,18
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0253,0.7793,99.4001,85.7759,98.7053,109,109,12,9,86.4516,19
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,adam,35318294-1795-4262-a487-ef56528331b2,0.0275,0.613,99.1232,86.6379,100.2011,109,109,12,9,86.4516,20
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,1.3423,1.2976,32.395,53.8793,93.4841,100,100,16,11,85.1613,1
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,1.2574,1.194,41.9474,47.6293,93.1565,100,100,16,11,85.1613,2
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,1.1222,1.0438,51.7766,58.8362,93.7921,100,100,16,11,85.1613,3
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,1.0319,0.9253,55.8837,62.2845,92.1659,100,100,16,11,85.1613,4
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.9095,0.8251,63.3133,67.4569,93.1087,100,100,16,11,85.1613,5
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.7982,0.8051,68.9894,67.2414,94.014,100,100,16,11,85.1613,6
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.7432,0.7044,70.8814,70.6897,92.3897,100,100,16,11,85.1613,7
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.6575,0.6852,74.8962,72.6293,93.3997,100,100,16,11,85.1613,8
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.6395,0.6947,76.0037,69.3966,93.0834,100,100,16,11,85.1613,9
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.5694,0.5817,77.7573,76.7241,92.8092,100,100,16,11,85.1613,10
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.472,0.598,82.8796,75.6466,91.9051,100,100,16,11,85.1613,11
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.4462,0.5311,83.2026,79.9569,93.1618,100,100,16,11,85.1613,12
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.3957,0.5326,84.6331,79.3103,92.7265,100,100,16,11,85.1613,13
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.3452,0.4791,87.2635,83.1897,93.4196,100,100,16,11,85.1613,14
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.3186,0.4584,88.2326,82.1121,95.4162,100,100,16,11,85.1613,15
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.2752,0.4777,89.94,82.7586,93.7175,100,100,16,11,85.1613,16
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.2189,0.4898,92.0628,83.6207,92.5686,100,100,16,11,85.1613,17
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.1856,0.4419,93.3549,85.5603,93.4953,100,100,16,11,85.1613,18
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.19,0.4798,93.078,85.3448,93.0661,100,100,16,11,85.1613,19
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.5,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.1563,0.472,95.0162,87.7155,92.9322,100,100,16,11,85.1613,20
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,1.5372,1.0006,41.9012,61.2069,99.0258,110,110,18,13,88.172,1
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.8597,0.6872,64.0978,73.9224,97.1276,110,110,18,13,88.172,2
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.6251,0.6156,74.7577,75.6466,98.4366,110,110,18,13,88.172,3
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.3955,0.5719,84.8639,81.8966,96.5577,110,110,18,13,88.172,4
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.2342,0.4778,91.2783,84.9138,97.0937,110,110,18,13,88.172,5
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.1353,0.4532,95.2469,86.6379,96.0497,110,110,18,13,88.172,6
af4ba2e2-306c-49c6-9b75-86e126ba3b3c,0.001,32,20,0.2,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.0868,0.5192,97.185,87.931,96.667,110,110,18,13,88.172,7
